ch,yue
㖞,waa
㖞,kwaa
㖟,sau
㖠,naa
㖡,e
㖡,je
㖡,nge
㖢,ci
㖣,tau
㖤,haam
㖥,leon
㖦,dung
㖧,fan
㖧,man
㖨,luk
㖩,zeoi
㖪,waak
㖫,ling
㖬,sau
㖭,tim
㖮,leon
㖯,tung
㖰,tung
㖱,je
㖲,jyu
㖳,jyu
㖴,man
㖵,got
㖶,jin
㖷,si
㖸,laa
㖹,pan
㖺,ceon
㖻,nau
㖼,mau
㖽,zaak
㖾,ngok
㖿,je
㗀,jau
㗁,ngok
㗂,saang
㗃,man
㗄,ku
㗅,wu
㗆,gaak
㗇,haa
㗇,gaa
㗈,maan
㗉,loek
㗊,leoi
㗋,hau
㗌,zat
㗍,zaai
㗎,gaa
㗎,ga
㗎㖞,ga wo
㗎㖞,gaa wo
㗎咋,ga za
㗎咋,ga zaa
㗎咋,gaa zaa
㗎咩,ga me
㗎咩,gaa me
㗎啦,ga laa
㗎啫,ga ze
㗎啫,gaa ze
㗎喇,ga laa
㗎喇咩,ga la me
㗎喇噃,ga la bo
㗎喎,ga wo
㗎喎,gaa wo
㗎嘛,ga maa
㗎嘞,ga la
㗎嘞,ga lak
㗏,waai
㗏,wai
㗐,haap
㗑,baai
㗒,oi
㗓,zeoi
㗔,hin
㗕,gau
㗖,daam
㗗,bei
㗘,bok
㗙,co
㗚,leot
㗛,siu
㗜,cau
㗝,gou
㗞,po
㗟,zyu
㗠,ci
㗡,jing
㗢,hung
㗣,tai
㗤,zuk
㗥,kwok
㗦,lou
㗧,zat
㗨,haai
㗩,sap
㗪,pei
㗫,cit
㗬,zaa
㗭,sik
㗮,gang
㗯,ze
㗰,cung
㗱,zaap
㗱,zep
㗲,waak
㗳,dap
㗴,ngaan
㗵,fat
㗶,put
㗷,coi
㗸,haam
㗹,wai
㗺,saap
㗻,go
㗼,jip
㗽,hoeng
㗾,hoe
㗾哆,hoe doe
㗿,ho
㘀,zok
㘁,jik
㘂,ci
㘃,je
㘄,lang
㘅,haam
㘆,toi
㘇,wing
㘈,jik
㘉,zik
㘉,zit
㘊,kap
㘋,jin
㘌,koek
㘍,zat
㘎,haam
㘏,dou
㘐,paau
㘑,lai
㘒,zung
㘓,laan
㘔,coi
㘕,haam
㘖,ngaan
㘗,keoi
㘘,lyun
㘙,ngaam
㘚,haam
㘛,ham
㘜,cau
㘝,laap
㘝,naap
㘞,wo
㘟,coeng
㘠,bik
㘡,haap
㘢,wang
㘣,syun
㘤,waan
㘥,jau
㘥,ngo
㘦,kan
㘧,zeoi
㘨,nip
㘩,bei
㘪,hou
㘫,ging
㘬,aau
㘭,aau
㘮,jik
㘯,coeng
㘰,zam
㘱,taan
㘲,guk
㘳,jau
㘴,zo
㘵,bou
㘶,git
㘷,ngaai
㘸,zong
㘹,ci
㘺,fat
㘻,jan
㘼,haau
㘽,zoi
㘾,jyu
㘿,nit
㙀,lau
㙁,mui
㙂,deoi
㙃,bang
㙄,bai
㙅,bou
㙆,wang
㙇,cuk
㙈,haa
㙉,tin
㙊,coeng
㙋,gei
㙌,suk
㙍,zeoi
㙎,wai
㙏,fuk
㙐,do
㙑,jyu
㙒,je
㙓,kwai
㙔,wai
㙕,faai
㙖,jyu
㙗,wui
㙘,jiu
㙙,lung
㙚,sing
㙛,bou
㙜,kok
㙝,hip
㙞,ngat
㙟,long
㙠,ai
㙡,zung
㙢,mun
㙣,zoeng
㙤,laa
㙥,gwan
㙦,ce
㙧,lau
㙨,gei
㙩,liu
㙪,ai
㙫,cap
㙬,ngan
㙭,kyut
㙮,daap
㙯,ngai
㙰,haai
㙱,gou
㙲,jung
㙳,ham
㙴,cim
㙵,toi
㙶,tong
㙷,zaap
㙸,pok
㙹,mung
㙺,kwai
㙻,cin
㙼,leoi
㙽,sik
㙾,hok
㙿,hei
㚀,hei
㚁,kiu
㚂,nong
㚃,wan
㚄,zi
㚅,lung
㚆,fuk
㚇,zung
㚈,ngoi
㚉,gu
㚊,hoi
㚋,diu
㚌,fo
㚍,fui
㚎,heoi
㚏,gou
㚐,tou
㚑,ling
㚒,sim
㚓,loi
㚔,nip
㚕,bat
㚖,gou
㚗,ce
㚘,bun
㚙,gaa
㚚,kwang
㚛,hai
㚜,wik
㚝,zeoi
㚞,sam
㚟,coek
㚠,hiu
㚡,gei
㚢,nou
㚣,gaau
㚤,jik
㚥,jyu
㚦,gei
㚧,cim
㚨,san
㚩,jim
㚪,hou
㚫,saap
㚬,gwan
㚭,jau
㚮,daam
㚯,cam
㚰,pui
㚱,jau
㚲,cim
㚳,aa
㚴,pou
㚵,dung
㚶,ci
㚷,naai
㚸,si
㚹,maau
㚺,jan
㚻,gai
㚼,lau
㚼,nau
㚽,haau
㚾,hing
㚿,baau
㛀,co
㛁,paang
㛂,no
㛃,git
㛄,ji
㛅,nei
㛆,do
㛇,zong
㛈,haau
㛉,jiu
㛊,do
㛋,nei
㛌,mau
㛍,hip
㛎,leoi
㛏,kau
㛐,sou
㛑,caan
㛒,dau
㛓,hei
㛔,fung
㛕,jap
㛖,so
㛗,ce
㛘,put
㛙,san
㛚,tung
㛛,san
㛜,jau
㛝,bui
㛞,lung
㛟,wun
㛠,haan
㛡,wan
㛢,sau
㛣,wan
㛤,lei
㛥,taap
㛦,lam
㛧,man
㛨,koeng
㛩,zuk
㛪,jim
㛫,sik
㛬,luk
㛭,sik
㛮,sou
㛯,faan
㛰,fan
㛱,wui
㛲,faat
㛳,jai
㛴,nou
㛵,cing
㛶,taan
㛷,gai
㛸,syu
㛹,pin
㛺,jam
㛻,waai
㛼,caap
㛽,saan
㛾,haam
㛿,daai
㜀,soeng
㜁,caa
㜂,fung
㜃,lyun
㜄,cam
㜅,huk
㜆,mai
㜇,wai
㜈,muk
㜉,jung
㜊,zin
㜋,jik
㜌,lau
㜌,nau
㜍,tong
㜎,hai
㜏,wan
㜐,syu
㜑,po
㜒,ngai
㜓,daap
㜔,ging
㜕,lin
㜖,cou
㜗,caam
㜘,ze
㜙,luk
㜚,suk
㜛,jyun
㜜,ngou
㜝,ngam
㜞,cim
㜟,haam
㜠,ceoi
㜡,cung
㜢,leoi
㜣,jin
㜤,nim
㜥,maai
㜦,cam
㜧,jyut
㜨,laai
㜨,naai
㜩,ou
㜪,san
㜫,mei
㜬,daam
㜭,dong
㜮,laam
㜯,hei
㜰,joek
㜱,zat
㜲,jing
㜳,waai
㜴,mang
㜵,niu
㜶,min
㜷,laai
㜷,naai
㜸,jip
㜸,jit
㜹,keoi
㜺,zaan
㜻,lyun
㜼,zat
㜽,zi
㜾,haai
㜿,zeoi
㝀,hou
㝁,hyun
㝂,zai
㝃,min
㝄,seon
㝅,gau
㝆,hei
㝇,seon
㝈,lyun
㝉,cyu
㝊,sau
㝋,liu
㝌,gau
㝍,se
㝎,ding
㝏,gaai
㝐,jung
㝑,pong
㝒,geoi
㝓,hap
㝔,jiu
㝕,ling
㝕,ning
㝖,ji
㝗,long
㝘,jung
㝙,jan
㝚,jin
㝛,suk
㝜,sik
㝝,lam
㝞,aa
㝟,mou
㝠,ming
㝡,zeoi
㝢,jyu
㝣,ai
㝤,gau
㝥,mai
㝦,zeon
㝧,wan
㝨,waan
㝩,hoi
㝪,dim
㝫,lung
㝬,wu
㝭,sing
㝮,ceoi
㝯,kiu
㝰,min
㝱,mung
㝲,cam
㝳,sam
㝴,jyun
㝵,dak
㝶,dak
㝷,cam
㝸,bin
㝹,nau
㝺,lim
㝻,gan
㝼,jyu
㝽,seoi
㝾,zo
㝿,bai
㝿,bo
㞀,fui
㞁,jiu
㞂,teoi
㞃,kek
㞄,am
㞅,lo
㞆,gei
㞇,wui
㞈,but
㞉,zaat
㞊,seot
㞋,nin
㞌,jan
㞍,jyun
㞎,baa
㞏,zaap
㞐,geoi
㞑,mei
㞒,ai
㞒,hei
㞓,hai
㞓,hei
㞓惊,hai geng
㞓驚,hai geng
㞔,ji
㞕,sit
㞖,ci
㞗,gau
㞗,kau
㞘,duk
㞙,niu
㞚,cap
㞛,gei
㞜,teoi
㞝,cik
㞞,cung
㞞,sung
㞟,din
㞠,liu
㞡,zin
㞢,jau
㞢,zi
㞣,fan
㞤,jam
㞥,sam
㞦,gei
㞧,wui
㞨,zi
㞩,laam
㞪,lou
㞪,nou
㞫,zau
㞬,jan
㞭,daai
㞮,ngai
㞯,hei
㞰,heoi
㞱,sung
㞲,jung
㞳,dau
㞴,ci
㞵,tou
㞶,man
㞷,wong
㞸,seoi
㞹,ho
㞺,zuk
㞻,hou
㞼,sing
㞽,hyut
㞾,nei
㞿,kei
㟀,lin
㟁,ngon
㟂,mou
㟃,si
㟄,coeng
㟅,ngong
㟆,waa
㟇,zo
㟈,kau
㟉,lou
㟊,fau
㟋,deoi
㟌,mong
㟍,long
㟎,to
㟏,ham
㟐,mong
㟑,but
㟒,kwan
㟓,kei
㟔,ham
㟕,giu
㟖,lung
㟗,ban
㟘,tiu
㟙,zaak
㟚,kei
㟛,zaam
㟜,mei
㟝,pui
㟞,zaan
㟟,hong
㟠,gong
㟡,kwai
㟢,kei
㟣,sung
㟤,luk
㟥,cam
㟥,caam
㟦,wan
㟧,ngok
㟨,dyun
㟩,man
㟪,wai
㟫,cyun
㟬,sau
㟭,man
㟮,dat
㟯,ngaak
㟰,ming
㟱,jiu
㟲,jyun
㟳,leot
㟴,faai
㟵,gong
㟶,jyun
㟷,daat
㟸,gou
㟹,lou
㟺,lau
㟻,cim
㟼,ngou
㟽,biu
㟾,jung
㟿,mang
㠀,dou
㠁,caam
㠂,ngou
㠃,dik
㠄,zaap
㠅,fuk
㠆,daan
㠇,zau
㠈,jeon
㠉,tung
㠊,heoi
㠋,ngok
㠌,kai
㠍,cap
㠎,zaap
㠏,waa
㠐,giu
㠑,zeoi
㠒,biu
㠓,mung
㠔,baai
㠕,ngai
㠖,ngai
㠗,ou
㠘,zeoi
㠙,hou
㠚,deoi
㠛,waak
㠜,jik
㠝,cyun
㠞,zing
㠟,lai
㠠,leoi
㠡,niu
㠢,waai
㠣,lik
㠤,soeng
㠥,leot
㠦,fung
㠧,mei
㠨,wat
㠩,fong
㠪,geoi
㠫,faan
㠬,hau
㠭,zin
㠮,pung
㠯,ji
㠰,gaa
㠱,gei
㠲,bei
㠳,jap
㠴,jan
㠵,fong
㠶,faan
㠷,gap
㠸,fu
㠹,gaai
㠺,saa
㠻,hei
㠼,si
㠽,tung
㠾,jyun
㠿,zi
㡀,bai
㡁,kwaa
㡂,lai
㡃,fong
㡄,seon
㡅,no
㡆,fong
㡇,zip
㡈,man
㡉,gin
㡊,hap
㡋,jip
㡌,mou
㡍,mok
㡎,saam
㡏,syu
㡐,zin
㡑,ciu
㡒,zeon
㡓,gwan
㡔,mou
㡕,joeng
㡖,cong
㡗,tai
㡘,lim
㡙,bai
㡚,kau
㡛,mong
㡜,sit
㡝,fung
㡞,lau
㡟,zou
㡠,zing
㡡,cyu
㡢,maan
㡣,lung
㡤,jip
㡥,jan
㡦,pan
㡧,zing
㡨,zim
㡩,lyun
㡪,fan
㡫,ai
㡬,gei
㡭,gai
㡮,gat
㡯,zaak
㡰,jyu
㡱,gau
㡲,waan
㡳,zi
㡴,laap
㡵,ling
㡶,zi
㡷,bun
㡸,zaa
㡹,ci
㡺,daan
㡻,liu
㡼,ji
㡽,ziu
㡾,haan
㡿,cik
㢀,ci
㢁,ci
㢂,jim
㢃,long
㢄,dau
㢅,lung
㢆,cin
㢇,jin
㢈,teoi
㢉,caa
㢊,ai
㢋,ci
㢌,aa
㢍,jing
㢎,zip
㢏,tau
㢐,waa
㢑,teoi
㢒,caa
㢓,zoeng
㢔,zung
㢕,jung
㢖,pun
㢗,hiu
㢘,lim
㢙,kan
㢚,lou
㢛,jim
㢜,kong
㢝,sou
㢞,jik
㢟,cin
㢠,gwing
㢡,zoeng
㢢,bai
㢣,king
㢤,zoi
㢥,dung
㢦,go
㢧,gyun
㢨,hon
㢩,dik
㢪,wu
㢫,saan
㢬,wang
㢭,tou
㢮,ci
㢯,deon
㢰,bei
㢱,nei
㢲,seon
㢳,lou
㢴,sai
㢵,hip
㢶,bat
㢷,seoi
㢸,bat
㢹,san
㢺,jin
㢻,jeoi
㢼,bit
㢽,nei
㢾,gyun
㢿,hau
㣀,zan
㣁,bei
㣂,ngaak
㣃,juk
㣄,keoi
㣅,zaam
㣆,mei
㣇,dai
㣈,si
㣉,gung
㣊,man
㣋,daan
㣌,saam
㣍,toi
㣎,muk
㣏,zing
㣐,bin
㣑,jung
㣒,cing
㣓,caan
㣔,ding
㣕,daai
㣖,taai
㣗,wu
㣘,keoi
㣙,dik
㣚,tung
㣛,taap
㣜,jing
㣝,sung
㣞,dyut
㣟,hat
㣠,tou
㣡,zung
㣢,tai
㣣,sim
㣤,cin
㣥,zi
㣦,wai
㣧,jan
㣨,gu
㣩,lam
㣪,wun
㣫,zung
㣬,cap
㣭,zung
㣮,naam
㣯,sit
㣰,sat
㣱,zaak
㣲,mei
㣳,mou
㣴,wong
㣵,taat
㣶,zaan
㣷,ning
㣸,jeoi
㣹,jing
㣺,sam
㣻,ngaai
㣼,jan
㣽,syu
㣾,caa
㣿,zoek
㤀,mong
㤁,tim
㤂,gap
㤃,fong
㤄,pui
㤅,oi
㤆,faan
㤇,ou
㤈,cam
㤉,kaa
㤊,haau
㤋,fan
㤌,gam
㤍,haau
㤎,go
㤏,dung
㤐,tip
㤑,jau
㤒,gou
㤓,ban
㤔,fu
㤕,ceot
㤖,lo
㤖,no
㤗,taai
㤘,cau
㤘,zau
㤙,jan
㤚,hong
㤛,jam
㤜,seot
㤝,cung
㤞,caa
㤟,hung
㤠,lit
㤡,lai
㤢,juk
㤣,paang
㤤,jyu
㤥,hoi
㤦,lei
㤧,hau
㤨,gung
㤩,kok
㤪,jyun
㤫,dak
㤬,wai
㤭,giu
㤮,gong
㤮,gwong
㤯,gwing
㤰,zok
㤱,fu
㤲,hip
㤳,bui
㤴,cip
㤵,ci
㤶,mong
㤷,ham
㤸,hik
㤹,kau
㤺,fong
㤻,tung
㤼,gip
㤽,cau
㤾,saam
㤿,jim
㤿憸,jim zim
㥀,zik
㥁,dak
㥂,tik
㥃,mun
㥄,ling
㥅,sau
㥆,teoi
㥇,caan
㥈,dip
㥉,cai
㥊,pang
㥋,ji
㥌,guk
㥍,gei
㥎,lei
㥏,tin
㥐,jyun
㥑,jau
㥒,coi
㥓,kei
㥔,juk
㥕,lin
㥖,cung
㥗,man
㥘,gip
㥙,zung
㥚,jyu
㥛,gik
㥜,wai
㥝,mei
㥞,seoi
㥟,haai
㥠,seoi
㥡,ci
㥢,cau
㥣,wai
㥤,ging
㥥,jyu
㥦,hip
㥧,seon
㥨,seoi
㥩,do
㥪,lau
㥫,deon
㥬,pong
㥭,taai
㥮,cau
㥮,zau
㥯,jan
㥰,sou
㥱,fei
㥲,can
㥳,jyun
㥴,ji
㥵,wan
㥶,sak
㥷,ai
㥸,man
㥹,fan
㥺,hap
㥻,cik
㥼,jan
㥽,caak
㥾,nik
㥿,ngou
㦀,fung
㦁,lin
㦂,soeng
㦃,caan
㦄,maa
㦅,dit
㦆,fu
㦇,luk
㦈,oi
㦉,ji
㦊,waa
㦋,zaa
㦌,fat
㦍,ngok
㦎,waak
㦏,seon
㦐,nei
㦑,haam
㦒,lai
㦓,jin
㦔,jim
㦕,lung
㦖,mun
㦗,gam
㦘,gik
㦙,jyu
㦚,bin
㦛,jyu
㦜,wok
㦝,mok
㦞,cau
㦟,maai
㦠,deoi
㦡,lok
㦢,zit
㦣,wai
㦤,ji
㦥,hyun
㦦,hik
㦧,caam
㦨,laan
㦩,jan
㦪,sip
㦫,zaat
㦬,lo
㦭,lin
㦮,zin
㦯,waak
㦰,zim
㦱,ngo
㦲,zoi
㦳,ngo
㦴,gaak
㦵,zyu
㦶,dit
㦷,jung
㦸,gik
㦹,joeng
㦺,juk
㦻,zaap
㦼,soeng
㦽,juk
㦾,ji
㦿,haam
㧀,gap
㧁,heoi
㧂,tin
㧃,sau
㧄,ham
㧅,muk
㧆,gan
㧇,mou
㧈,jan
㧉,goi
㧊,put
㧋,hyun
㧌,mou
㧍,fong
㧎,ngaa
㧏,gong
㧐,sung
㧑,fai
㧑身,we san
㧒,wat
㧓,gwaa
㧔,gwaai
㧕,lau
㧖,ak
㧗,zi
㧘,zi
㧙,pit
㧚,ngaa
㧛,laam
㧜,laap
㧝,ke
㧞,bat
㧟,kwaai
㧠,mei
㧡,hoi
㧢,jan
㧣,zyu
㧤,cung
㧥,sin
㧦,hyun
㧧,so
㧨,kau
㧩,bui
㧪,gwai
㧫,ji
㧬,ung
㧬,gung
㧭,kung
㧮,fat
㧯,lou
㧰,lik
㧰,loek
㧱,naa
㧲,sam
㧳,zeoi
㧴,ngo
㧵,pau
㧶,hang
㧷,tan
㧸,paang
㧹,tik
㧺,dap
㧺,taap
㧻,duk
㧼,biu
㧽,gu
㧾,fat
㧿,cung
㨀,bing
㨁,zi
㨂,dung
㨃,deoi
㨄,zau
㨅,neoi
㨆,lam
㨇,po
㨈,zai
㨉,man
㨊,wai
㨋,ce
㨌,gau
㨍,bong
㨎,jyu
㨏,taan
㨐,bau
㨑,zung
㨒,fui
㨓,lou
㨔,ham
㨕,jing
㨖,zi
㨗,zit
㨘,saang
㨙,haai
㨚,seon
㨛,sim
㨜,kin
㨝,sit
㨞,sou
㨟,goi
㨠,mik
㨡,wat
㨢,pei
㨣,jung
㨤,kwaai
㨥,naap
㨦,sung
㨧,ban
㨨,cau
㨩,zit
㨪,fong
㨫,laam
㨬,jyun
㨭,wu
㨮,dau
㨯,kok
㨯,kwok
㨰,gwan
㨱,jiu
㨲,caak
㨳,gwai
㨴,kin
㨵,zin
㨶,dou
㨷,gan
㨸,maat
㨹,wai
㨺,min
㨻,caam
㨼,loek
㨽,bik
㨾,joeng
㨿,geoi
㩀,geoi
㩁,kok
㩂,huk
㩃,gin
㩄,saai
㩅,cau
㩆,zau
㩇,waak
㩈,wan
㩉,daap
㩉手,jaap sau
㩊,syun
㩋,sok
㩋,siu
㩌,fei
㩍,caak
㩎,jip
㩏,hak
㩐,dan
㩑,saap
㩒,gam
㩓,wai
㩔,tyun
㩕,ling
㩖,koeng
㩗,kwai
㩘,ji
㩙,sak
㩚,mung
㩛,tyun
㩜,laam
㩝,hou
㩞,caak
㩟,zaai
㩠,ou
㩡,lo
㩢,mit
㩣,fai
㩤,fu
㩥,cim
㩦,kwai
㩧,bok
㩧手指綟,baak sau zi lit
㩨,wai
㩩,king
㩪,kit
㩫,zat
㩬,hei
㩭,gaau
㩮,geoi
㩯,pun
㩰,ziu
㩱,zoek
㩲,kyun
㩳,sung
㩴,guk
㩵,ngaat
㩶,nip
㩷,hin
㩸,dip
㩹,dip
㩺,pei
㩻,kei
㩼,zi
㩽,kei
㩾,zeoi
㩿,kak
㩿,fat
㪀,jyu
㪁,kam
㪂,fat
㪃,ho
㪄,fat
㪅,gang
㪆,dai
㪇,sin
㪈,gwai
㪉,hap
㪊,kwan
㪋,hon
㪌,tung
㪍,but
㪎,sim
㪏,bai
㪐,lak
㪐,leot
㪑,jip
㪒,ngai
㪓,ceoi
㪔,saan
㪕,coek
㪕,diu
㪖,luk
㪗,tau
㪘,lim
㪙,fo
㪚,saan
㪛,zam
㪜,ceoi
㪝,lin
㪞,mou
㪟,deon
㪠,zaam
㪡,koi
㪢,saau
㪣,hiu
㪤,bat
㪥,zaa
㪦,jan
㪧,jap
㪨,sin
㪩,sok
㪪,saap
㪫,jeoi
㪬,coek
㪭,lou
㪮,ling
㪯,geoi
㪰,zaai
㪱,wun
㪲,dau
㪳,dau
㪴,git
㪵,bun
㪶,huk
㪷,dau
㪸,zam
㪹,lau
㪺,keoi
㪻,gyun
㪼,ho
㪽,so
㪾,lok
㪿,zit
㫀,ding
㫁,dyun
㫂,zyu
㫃,jin
㫄,pong
㫅,kei
㫆,ji
㫇,jyu
㫈,jyu
㫉,ngai
㫊,ji
㫋,zin
㫌,syun
㫍,jau
㫎,fai
㫏,jiu
㫐,jiu
㫑,zi
㫒,gung
㫓,hei
㫔,gan
㫕,gwong
㫖,zi
㫗,hau
㫘,mat
㫙,fu
㫚,fat
㫛,gong
㫛,gwong
㫜,taan
㫝,dai
㫞,tou
㫟,jyun
㫠,bun
㫡,dung
㫢,heoi
㫣,man
㫤,cong
㫥,ming
㫦,tou
㫧,bou
㫨,on
㫩,ceon
㫪,zung
㫫,hin
㫬,ceon
㫭,si
㫮,ci
㫯,mou
㫰,long
㫱,naan
㫲,pui
㫳,san
㫴,haau
㫵,fei
㫶,zau
㫷,gei
㫸,zip
㫹,so
㫺,sik
㫻,gwan
㫼,zit
㫽,luk
㫾,soeng
㫿,zeoi
㬀,hoeng
㬁,caap
㬂,jyu
㬃,toi
㬄,caan
㬅,maan
㬆,man
㬇,wun
㬈,wan
㬉,nyun
㬊,wun
㬋,hau
㬌,ging
㬍,bok
㬎,hin
㬏,lik
㬐,zeon
㬑,gok
㬑,gwok
㬒,mong
㬓,piu
㬔,hou
㬕,joeng
㬖,kai
㬗,lin
㬗,nin
㬘,suk
㬙,wai
㬚,cit
㬛,kap
㬜,zeon
㬝,cang
㬞,hot
㬟,fan
㬠,saai
㬠,saat
㬡,ling
㬢,hei
㬣,deoi
㬤,jap
㬥,buk
㬦,wok
㬧,bou
㬨,haak
㬩,wai
㬪,dip
㬫,jin
㬬,keoi
㬭,ziu
㬮,naan
㬯,lip
㬰,jyu
㬱,tai
㬲,tim
㬳,ng
㬴,hung
㬵,gaau
