ch,wuu-sh,wuu-sz
世嘉,sy cia,syu cia
世行,sy ghaon,syu ghaon
丘,chieu,chieu
丙,pin,pin
业,gniq,gniq
丛,zon,zon
东,ton,ton
东晒,ton so,ton so
丝,sy,sy
丞,zen,zen
丟,tieu,teu
丢,tieu,teu
两,lian,lian
两个,lian gheq,lian keq
两个,lian ku,lian keq
两伊,lian i,lian i
两家,lian cia,lian cia
两家,lian ka,lian cia
两家头,lian ka deu,lian cia deu
两气生,lian chi san,lian chi san
两行,lian ghaon,lian ghaon
严,gni,gnie
並,bin,bin
並,pin,pin
丧,saon,saon
丨,kuen,kuen
丩,cieu,cieu
个,geq,keq
个,gheq,keq
个,ku,keq
个,geq,kou
个不,ku peq,keq peq
个个,geq gheq,keq keq
个个,ku ku,keq keq
个中,ku tson,keq tson
个人,gheq gnin,keq zen
个人,ku gnin,keq zen
个以,ku i,keq i
个位,ku we,keq we
个体,ku thi,keq thi
个例,ku li,keq li
个儿,ku er,keq er
个分,ku fen,keq fen
个别,ku biq,keq biq
个唱,ku tshaon,keq tshan
个多,ku tu,keq tou
个子,ku tsy,keq tsy
个字,gheq zy,keq zy
个字,ku zy,keq zy
个展,ku tsoe,keq tsoe
个很,ku hen,keq hen
个性,ku sin,keq sin
个把,ku po,keq po
个数,ku su,keq sou
个旧,ku jieu,keq jieu
个是,ku zy,keq zyu
个最,ku tsoe,keq tse
个月,ku yoq,keq yuq
个月,ku yuq,keq yuq
个有,ku yeu,keq yeu
个案,ku oe,keq oe
个系,ku yi,keq yi
个网,ku maon,keq maon
个股,ku ku,keq kou
个里,ku li,keq li
个钱,ku zi,keq zie
丫,o,o
丫,ia,ia
丬,be,be
中,tson,tson
中国人民共和国,tson koq zen min gon wu koq,tson kueq zen min gon ghou kueq
中國人民共和國,tson koq zen min gon wu koq,tson kueq zen min gon ghou kueq
丯,ka,ka
丰,fon,fon
丰镐,fon ghau,fon ghau
丱,kue,kue
串,tshoe,tshoe
串,kue,tshoe
临,lin,lin
临死,lin si,lin sy
临死,lin sy,lin sy
丶,tsy,tsyu
丷,paq,poq
丸,woe,woe
丸,woe,yoe
丹,te,te
为,we,we
为二,we er,we gni
为二,we gni,we gni
为家,we cia,we cia
为自家,we zy ka,we zy cia
主,tsy,tsyu
丽,li,li
举,ciu,ciu
举家,ciu cia,ciu cia
丿,phiq,phiq
乀,naq,naeq
乁,jiq,jiq
乁,yi,yi
乂,gni,gni
乃,ne,ne
乃朝,ne tsau,ne tsau
久,cieu,cieu
么,meq,meq
么,iau,iau
么,moq,moq
么,mu,mo
么兒,iau er,iau er
么喝,iau heq,iau heq
么喝,meq heq,meq heq
么弟,iau di,iau di
义,gni,gni
义,yi,yi
之,tsy,tsyu
之家,tsy cia,tsyu cia
之家,tsy ka,tsyu cia
之扰,tsy zau,tsyu zau
之擾,tsy zau,tsyu zau
之長,tsy tsan,tsyu tsan
之长,tsy tsan,tsyu tsan
乌,u,ou
乌日,u zeq,ou zeq
乌龟,u ciu,ou ciu
乌龟,u kue,ou kue
乍,zo,zo
乎,wu,ghou
乎,hu,hou
乏,vaq,vaeq
乏,fe,vaeq
乐,loq,loq
乐,yaq,yaq
乐,yau,yau
乐,ngoq,ngoq
乐,loq,yoq
乐和,yaq wu,yaq ghou
乐器,yaq chi,yaq chi
乐团,yaq doe,yaq doe
乐圣,yaq sen,yaq sen
乐坛,yaq de,yaq de
乐妓,yaq ji,yaq ji
乐工,yaq kon,yaq kon
乐师,yaq sy,yaq syu
乐府,yaq fu,yaq fu
乐律,yaq liq,yaq liq
乐感,yaq koe,yaq koe
乐户,yaq wu,yaq ghou
乐手,yaq seu,yaq seu
乐曲,yaq chioq,yaq chioq
乐曲,yaq chiuq,yaq chioq
乐歌,yaq ku,yaq kou
乐段,yaq doe,yaq doe
乐毅,yaq gni,yaq gni
乐池,yaq zy,yaq zyu
乐清,yaq tshin,yaq tshin
乐理,yaq li,yaq li
乐神,yaq zen,yaq zen
乐章,yaq tsaon,yaq tsan
乐舞,yaq vu,yaq vu
乐评,yaq bin,yaq bin
乐调,yaq diau,yaq diau
乐谱,yaq pu,yaq phu
乐迷,yaq mi,yaq mi
乐队,yaq de,yaq de
乐音,yaq in,yaq in
乒,phin,phin
乓,phan,phan
乔,jiau,jiau
乖,kua,kua
乖,kua,kue
乘,zen,zen
乘,tshen,tshen
乙,iq,iq
乚,ghau,ghau
乚,iq,iq
乛,iq,iq
乛,tseq,tseq
乜,ma,mie
九,cieu,cieu
九个,cieu gheq,cieu keq
九个,cieu ku,cieu keq
九十,cieu seq,cieu seq
乞,chiq,chiq
乞降,chiq ghaon,chiq ghaon
也,gha,gha
也,ye,gha
也,ya,ie
也,gha,ghaeq
也懈,gha ye,gha ye
也蛮好,gha me hau,gha me hau
也蠻好,gha me hau,gha me hau
习,ziq,ziq
习惯个,ziq kue gheq,ziq kue keq
乡,shian,shian
乡长,shian tsan,shian tsan
书,sy,syu
乩,ci,ci
买,ma,ma
买个,ma gheq,ma keq
乱,loe,loe
乳,zy,zyu
乳,lu,zyu
乸,na,na
乾,koe,koe
乾,ji,jie
乾坤,ji khuen,jie khuen
乾隆,ji lon,jie lon
亂,loe,loe
亅,jioq,jiuq
亅,jiuq,jiuq
了,liau,liau
了,leq,leq
了个,liau ku,liau keq
了個,liau ku,liau kou
了家,liau cia,liau cia
亇,gheq,keq
予,yu,yu
争,tsen,tsen
争,tsan,tsen
争,tsen,tsan
争吵,tsan tshau,tsen tshau
争吵,tsen tshau,tsen tshau
争气,tsan chi,tsen chi
事,zy,zyu
事,zy,zy
事長,zy tsan,zyu tsan
事长,zy tsan,zyu tsan
二,gni,gni
二,er,gni
二,lian,gni
二,gni,er
二下,gni shia,gni ia
二个,gni ku,gni keq
二個,gni ku,gni kou
二划,gni waq,gni waeq
二十,er seq,gni seq
二度,gni du,gni dou
二甲,er ciaq,gni kaeq
二郎腿,er laon the,gni laon the
亍,tshoq,tshoq
于,yu,yu
于,iu,iu
亏,khue,khue
亏,chiu,chiu
亏,shiu,chiu
亏得,chiu teq,chiu teq
云,yon,yun
云,yun,yun
互,wu,ghou
互,ngu,ngou
互教,wu kau,ghou ciau
亓,ji,ji
五,ng,ng
五,u,ou
五下,ng shia,ng ia
五个,ng gheq,ng keq
五个,ng ku,ng keq
五划,ng waq,ng waeq
五十,ng seq,ng seq
五只,ng tsaq,ng tsaq
五度,ng du,ng dou
五更,ng kan,ng ken
五脏,ng zaon,ng tsaon
五行,ng ghaon,ng ghaon
井,tsin,tsin
亘,kan,ken
亙,kan,ken
亚,ia,ia
亚,o,o
亚,ia,io
些,si,si
些个,si ku,si keq
些個,si ku,si kou
亞,ia,ia
亞,o,o
亞,ia,io
亟,ciq,ciq
亟,chi,chi
亠,deu,deu
亡,waon,maon
亡,maon,maon
亡,vu,vu
亡,waon,vaon
亢,khaon,khaon
交,ciau,ciau
交,kau,ciau
交,kau,kau
交上,kau zaon,ciau zaon
交与,kau yu,ciau yu
交了,kau liau,ciau liau
交予,kau yu,ciau yu
交互,kau wu,ciau ghou
交保,kau pau,ciau pau
交出,kau tsheq,ciau tsheq
交到,kau tau,ciau tau
交响,kau shian,ciau shian
交回,kau we,ciau we
交工,kau kon,ciau kon
交差,kau tsha,ciau tsho
交彙,kau we,ciau we
交待,kau de,ciau de
交心,kau sin,ciau sin
交手,kau seu,ciau seu
交投,kau deu,ciau deu
交拜,kau pa,ciau pa
交接,kau tsiq,ciau tsiq
交收,kau seu,ciau seu
交桃花运,kau dau ho yon,ciau dau ho yun
交桃花运,kau dau ho yun,ciau dau ho yun
交桃花運,kau dau ho yon,ciau dau ho yun
交桃花運,kau dau ho yun,ciau dau ho yun
交椅,kau i,ciau i
交楼,kau leu,ciau leu
交樓,kau leu,ciau leu
交点,kau ti,ciau tie
交班,kau pe,ciau pe
交由,kau yeu,ciau yeu
交稅,kau soe,ciau se
交税,kau soe,ciau se
交稿,kau kau,ciau kau
交管,kau kuoe,ciau kuoe
交給,kau ciq,ciau ciq
交織,kau tseq,ciau tseq
交织,kau tseq,ciau tseq
交给,kau ciq,ciau ciq
交臂,kau pi,ciau pi
交與,kau yu,ciau yu
交角,kau koq,ciau koq
交費,kau fi,ciau fi
交賬,kau tsan,ciau tsan
交账,kau tsan,ciau tsan
交费,kau fi,ciau fi
交輝,kau hue,ciau hue
交辉,kau hue,ciau hue
交边,kau pi,ciau pie
交邊,kau pi,ciau pie
交錢,kau zi,ciau zie
交錯,kau tshu,ciau tshou
交钱,kau zi,ciau zie
交错,kau tshu,ciau tshou
交響,kau shian,ciau shian
交點,kau ti,ciau tie
亥,ghe,ghe
亦,yiq,yiq
产,tshe,tshe
亨,han,han
亨,phen,phen
亨,han,hen
亩,m,mo
亩,meu,meu
亩,m,m
享,shian,shian
京,cin,cin
亭,din,din
亭子間,din tsy ke,din tsy ke
亭子间,din tsy ke,din tsy ke
亮,lian,lian
亲,tshin,tshin
亲交,tshin kau,tshin ciau
亲家,tshin cia,tshin cia
亲家,tshin ka,tshin cia
亲家公,tshin ka kon,tshin cia kon
亲家母,tshin ka mu,tshin cia mo
亲日,tshin zeq,tshin zeq
亲生,tshin san,tshin san
亲生,tshin sen,tshin sen
亳,boq,boq
亵,siq,siq
亶,de,de
亶,te,te
亷,li,lie
亸,tu,tou
亹,men,men
亹,mi,mie
人,gnin,zen
人,zen,zen
人,gnin,gnin
人个,gnin gheq,zen keq
人们,zen men,zen men
人們,zen men,zen men
人参,gnin sen,zen sen
人參,gnin sen,zen sen
人文,zen ven,zen ven
人民,zen min,zen min
人生,gnin san,zen san
人生,gnin sen,zen sen
亻,gnin,zen
亼,ziq,ziq
亽,ziq,ziq
亾,maon,maon
亿,i,i
什,zeq,zeq
什,seq,seq
仁,gnin,zen
仁,zen,zen
仁,gnin,gnin
仂,leq,leq
仃,tin,tin
仄,tseq,tseq
仅,jin,jin
仆,boq,boq
仆,phoq,phoq
仆,fu,fu
仇,zeu,zeu
仇,jieu,jieu
仉,tsan,tsan
今,cin,cin
今个,cin ku,cin keq
今個,cin ku,cin kou
今朝仔,cin tsau tsy,cin tsau tsy
介,ka,ka
介,cia,cia
介紹,cia zau,cia zau
介紹,ka zau,ka zau
介绍,cia zau,cia zau
介绍,ka zau,ka zau
仌,pin,pin
仍,gnin,zen
仍,zen,zen
从,zon,zon
从,tshon,tshon
从容,tshon yon,tshon yon
仑,len,len
仓,tshaon,tshaon
仔,tsy,tsy
仔,tse,tse
仔,zy,zy
仔猪,tse tsy,tse tsyu
仔畜,tse tshoq,tse tshoq
仔豬,tse tsy,tse tsyu
仔雞,tse ci,tse ci
仔魚,tse ng,tse yu
仔鱼,tse ng,tse yu
仔鸡,tse ci,tse ci
仕,zy,zyu
仕,zy,zy
他,tha,tha
他个,tha ku,tha keq
他個,tha ku,tha kou
他日,tha zeq,tha zeq
仗,zan,zan
仗,tsan,tsan
仗,tsaon,tsan
付,fu,fu
仙,si,sie
仛,doq,doq
仛,thoq,thoq
仛,tsho,tsho
仝,don,don
仞,gnin,zen
仞,zen,zen
仟,tshi,tshie
仡,gniq,gniq
仡,keq,keq
代,de,de
令,lin,lin
以,i,i
仨,se,se
仪,gni,gni
仫,mu,mo
们,men,men
仰,gnian,gnian
仲,zon,zon
仳,bi,bi
仳,phi,phi
仵,ng,ng
仵,u,ou
件,ji,jie
价,ka,cia
价,cia,cia
价,geq,ka
任,zen,zen
任,gnin,zen
任,gnin,gnin
份,ven,ven
仿,faon,faon
仿,baon,baon
仿佛,baon veq,baon feq
仿佛,faon veq,faon feq
企,chi,chi
伈,sin,sin
伉,khaon,khaon
伊,yi,yi
伊,i,i
伊东,i ton,i ton
伊个,yi gheq,yi keq
伊人,i gnin,i zen
伊仔,i tsy,i tsy
伊始,i sy,i syu
伊宁,i gnin,i gnin
伊寧,i gnin,i gnin
伊尹,i yin,i yin
伊川,i tshoe,i tshoe
伊拉,yi la,yi la
伊拉,yi la,yi la
伊拉个,yi la gheq,yi la keq
伊拉个,yi la gheq,yi la keq
伊春,i tshen,i tshen
伊是,i zy,i zyu
伊朗,i laon,i laon
伊東,i ton,i ton
伊犁,i li,i li
伊紅,i ghon,i ghon
伊索,i soq,i soq
伊红,i ghon,i ghon
伊面,i mi,i mie
伋,ciq,ciq
伍,wu,vu
伍,ng,ng
伍,u,ou
伎,ji,ji
伏,voq,voq
伏,bu,bu
伏,vu,vu
伏太阳,bu tha yan,bu tha yan
伏太陽,bu tha yan,bu tha yan
伏小雞,bu siau ci,bu siau ci
伏小鸡,bu siau ci,bu siau ci
伏蛋,bu de,bu de
伐,vaq,vaeq
伐,va,vaeq
休,shieu,shieu
休,shiu,shiu
伕,fu,fu
众,tson,tson
众望,tson waon,tson maon
众牲,tson san,tson san
众生,tson san,tson san
优,ieu,ieu
伙,hu,hou
会,we,we
会,khue,khue
会,ue,ue
会,kue,kue
会了,we leq,we leq
会做,ue tsu,ue tsou
会做,we tsu,we tsou
会做人家,we tsu gnin ka,we tsou zen cia
会计,khue ci,khue ci
会计,kue ci,kue ci
会长,we tsan,we tsan
伛,eu,eu
伞,se,se
伟,we,we
传,zoe,zoe
伢,nga,nga
伣,yi,ye
伤,saon,saon
伥,tshan,tshan
伦,len,len
伧,tshaon,tshaon
伧,tshen,tshen
伪,we,we
伫,zy,zyu
伭,yoe,yoe
伯,paq,poq
伯,po,po
伯,paq,paq
伯,peq,peq
估,ku,kou
伱,ni,ni
伲,gni,gni
伲个,gni gheq,gni keq
伴,boe,boe
伶,lin,lin
伸,sen,sen
伺,zy,zy
似,zy,zyu
似,zy,zy
伽,ga,ga
伽,ka,cia
伽,cia,cia
伽馬,ga ma,ga ma
伽马,ga ma,ga ma
伾,phi,phi
佁,i,ie
佁,tshy,tshyu
佃,di,die
但,de,de
佇,zy,zyu
佈,pu,pu
位,we,we
低,ti,ti
低了,ti leq,ti leq
住,zy,zyu
住个,zy gheq,zyu keq
佐,tsu,tsou
佑,yeu,yeu
佒,ian,aon
体,thi,thi
体,ben,ben
体夫,ben fu,ben fu
佔,tsoe,tsoe
佔,tsi,tsie
何,wu,ghou
何,gha,ghou
何日君,wu zeq cion,ghou zeq ciun
何日君,wu zeq ciun,ghou zeq ciun
何晏,wu i,ghou ie
何裏,gha li,ghou li
何里,gha li,ghou li
何里一只,gha li iq tsaq,ghou li iq tsaq
何里个,gha li gheq,ghou li keq
佖,biq,biq
佗,du,dou
佗,thu,thou
佘,zo,zo
余,yu,yu
佚,yiq,yiq
佛,veq,feq
佛,feq,feq
佛,beq,beq
佛,biq,biq
佛,veq,veq
作,tsoq,tsoq
作家,tsoq cia,tsoq cia
作死作活,tsoq si tsoq weq,tsoq sy tsoq weq
佝,keu,keu
佝,heu,heu
佝背,heu pe,heu pe
佞,gnin,gnin
佟,don,don
你,ni,ni
佢,jiu,jiu
佣,yon,yon
佤,wa,gho
佥,tshi,tshie
佩,be,be
佬,lau,lau
佮,keq,keq
佯,yan,yan
佰,paq,paq
佳,cia,cia
佴,er,er
佴,gni,gni
佴,ne,ne
併,pin,pin
佶,jiq,jiq
佶,ciq,ciq
佸,weq,weq
佺,tshi,tshie
佻,thiau,thiau
佼,ciau,ciau
佽,tshy,tshy
佾,yiq,yiq
使,sy,syu
使,sy,sy
侁,sen,sen
侂,thoq,thoq
侃,khe,khoe
侄,zeq,zeq
來,le,le
來死,le si,le sy
侇,yi,yi
侈,tshy,tshyu
侉,kho,kho
例,li,li
侍,zy,zyu
侍,zy,zy
侏,tsy,tsyu
侑,yeu,yeu
侔,meu,meu
侖,len,len
侗,don,don
侗,thon,thon
侘,tsho,tsho
供,kon,kon
供,kon,cion
依,i,i
侠,yaq,yaq
侣,liu,li
侥,tsiau,tsiau
侥,ciau,ciau
侦,tsen,tsen
侧,tseq,tseq
侧,tsheq,tsheq
侨,jiau,jiau
侩,kue,kue
侪,ze,ze
侬,non,non
侬个,non gheq,non keq
侭,tsin,tsin
侮,wu,vu
侯,gheu,gheu
侴,hau,hau
侴,tsheu,tsheu
侵,tshin,tshin
侶,liu,li
侷,jioq,jioq
侹,thin,thin
便,bi,bie
係,yi,yi
係,shi,shi
促,tshoq,tshoq
俄,ngu,ngou
俅,jieu,jieu
俆,zi,zie
俉,n,n
俊,tsin,tsin
俊,tsiun,tsin
俍,lian,lian
俎,tsu,tsou
俏,tshiau,tshiau
俐,li,li
俑,ion,ion
俑,yon,yon
俔,yi,ye
俗,zoq,zoq
俘,fu,fu
俙,shi,shi
俚,li,li
俜,phin,phin
保,pau,pau
保長,pau tsan,pau tsan
保长,pau tsan,pau tsan
俞,yu,yu
俟,zy,zy
俟,ji,ji
俠,yaq,yaq
信,sin,sin
信度,sin du,sin dou
信解,sin ka,sin ka
俣,gniu,gniu
俦,zeu,zeu
俨,gni,gnie
俩,lian,lian
俪,li,li
俫,le,le
俬,sy,sy
俭,ji,jie
修,sieu,seu
修行,sieu ghan,seu ghan
修行,sieu yin,seu yin
俯,fu,fu
俱,jiu,jiu
俳,ba,ba
俵,piau,piau
俶,tshoq,tshoq
俸,von,von
俸,fon,fon
俺,e,e
俾,pi,pi
俾,pe,pe
倀,tshan,tshan
倆,lian,lian
倈,le,le
倉,tshaon,tshaon
個,gheq,keq
個,ku,kou
個,geq,geq
個,keq,keq
個不,ku peq,kou peq
個中,ku tson,kou tson
個以,ku i,kou i
個位,ku we,kou we
個例,ku li,kou li
個個,ku ku,kou kou
個兒,ku er,kou er
個分,ku fen,kou fen
個別,ku biq,kou biq
個唱,ku tshaon,kou tshan
個多,ku tu,kou tou
個子,ku tsy,kou tsy
個展,ku tsoe,kou tsoe
個很,ku hen,kou hen
個性,ku sin,kou sin
個把,ku po,kou po
個數,ku su,kou sou
個是,ku zy,kou zyu
個最,ku tsoe,kou tse
個月,ku yoq,kou yuq
個月,ku yuq,kou yuq
個有,ku yeu,kou yeu
個案,ku oe,kou oe
個系,ku yi,kou yi
個網,ku maon,kou maon
個股,ku ku,kou kou
個舊,ku jieu,kou jieu
個裏,ku li,kou li
個錢,ku zi,kou zie
個頭,ku deu,kou deu
個體,ku thi,kou thi
倌,kuoe,kuoe
倍,be,be
倏,soq,soq
們,men,men
倒,tau,tau
倓,de,de
倓,te,the
倓,the,the
倔,jioq,jiuq
倔,jiuq,jiuq
倕,zoe,ze
倖,yin,yin
倘,thaon,thaon
候,gheu,gheu
候,gheu,yeu
倚,i,i
倜,thiq,thiq
倜,tseu,tseu
倞,jin,jin
倞,lian,lian
借,tsia,tsia
借,ziq,ziq
借口,ziq kheu,ziq kheu
借問,tsia men,tsia ven
借問,tsia ven,tsia ven
借故,ziq ku,ziq kou
借机,ziq ci,ziq ci
借此,ziq tshy,ziq tshy
借由,ziq yeu,ziq yeu
借端,ziq toe,ziq toe
借词,ziq zy,ziq zy
借问,tsia men,tsia ven
借问,tsia ven,tsia ven
倡,tshaon,tshan
倡,tshan,tshan
倣,faon,faon
倥,khon,khon
倦,jioe,jioe
倧,tson,tson
倨,ciu,ciu
倩,tshi,tshie
倪,gni,gni
倫,len,len
倬,tsoq,tsoq
倭,u,ou
倮,lu,lou
倴,ben,ben
倷,ne,ne
债,tsa,tsa
倻,ia,ia
值,zeq,zeq
值日,zeq zeq,zeq zeq
倾,chin,chin
偁,tshen,tshen
偃,ia,ie
偃,i,ie
偃月,i yoq,ie yuq
偃月,i yuq,ie yuq
假,ka,cia
假,cia,cia
假,ka,ka
假个,ka gheq,cia keq
假使,cia sy,cia syu
假使,ka sy,cia syu
假如,cia zy,cia zyu
假如,ka zy,cia zyu
偈,jiq,jiq
偈,ji,ji
偉,we,we
偌,za,za
偌,noq,noq
偎,ue,ue
偏,phi,phie
偓,oq,oq
偕,cia,cia
偕,ya,ye
做,tsu,tsou
做个,tsu gheq,tsou keq
做个,tsu ku,tsou keq
做大,tsu du,tsou dou
做月子,tsu gnioq tsy,tsou gnioq tsy
做月子,tsu gniuq tsy,tsou ngeq tsy
做月子,tsu yoq tsy,tsou yuq tsy
做月子,tsu yuq tsy,tsou yuq tsy
做生活,tsu san weq,tsou san weq
做鬼,tsu kue,tsou kue
停,din,din
偟,waon,waon
偡,ze,ze
健,ji,jie
偬,tson,tson
偭,mi,mie
偰,siq,siq
偲,sy,sy
偲,tshe,tshe
側,tseq,tseq
側,tsheq,tsheq
偵,tsen,tsen
偶,ngeu,ngeu
偷,theu,theu
偷生,theu san,theu san
偷生,theu sen,theu sen
偻,leu,leu
偽,we,we
