ch,wuu-sh
仞,gnin
仞,zen
仟,tshi
仡,gniq
仡,keq
代,de
令,lin
以,i
仨,se
仪,gni
仫,mu
们,men
仰,gnian
仰,gnian
仲,zon
仳,bi
仵,ng
件,ji
价,ka
价,cia
价,geq
任,zen
任,gnin
份,ven
仿,faon
仿佛,baon veq
仿佛,faon veq
企,chi
伈,sin
伉,khaon
伊,yi
伊,i
伊东,i ton
伊个,yi gheq
伊人,i gnin
伊仔,i tsy
伊始,i sy
伊宁,i gnin
伊寧,i gnin
伊尹,i yin
伊川,i tshoe
伊拉,yi la
伊拉,yi la
伊拉个,yi la gheq
伊拉个,yi la gheq
伊春,i tshen
伊是,i zy
伊朗,i laon
伊東,i ton
伊犁,i li
伊紅,i ghon
伊索,i soq
伊红,i ghon
伊面,i mi
伋,ciq
伍,wu
伍,ng
伍,u
伎,ji
伏,voq
伏,bu
伏,vu
伏太阳,bu tha yan
伏太陽,bu tha yan
伏小雞,bu siau ci
伏小鸡,bu siau ci
伏蛋,bu de
伐,vaq
伐,va
休,shieu
休,shiu
伕,fu
众,tson
众望,tson waon
众牲,tson san
众生,tson san
优,ieu
伙,hu
会,we
会,khue
会,ue
会,kue
会了,we leq
会做,ue tsu
会做,we tsu
会做人家,we tsu gnin ka
会计,khue ci
会计,kue ci
会长,we tsan
伛,eu
伞,se
伟,we
传,zoe
伢,nga
伣,yi
伤,saon
伥,tshan
伦,len
伧,tshaon
伧,tshen
伪,we
伫,zy
伭,yoe
伯,paq
伯,po
估,ku
伱,ni
伲,gni
伲个,gni gheq
伴,boe
伶,lin
伸,sen
伺,zy
似,zy
伽,ga
伽,ka
伽,cia
伽馬,ga ma
伽马,ga ma
伾,phi
佁,i
佁,tshy
佃,di
但,de
佇,zy
佈,pu
位,we
低,ti
低了,ti leq
住,zy
住个,zy gheq
佐,tsu
佑,yeu
体,thi
体,ben
体夫,ben fu
佔,tsoe
佔,tsi
何,wu
何,gha
何日君,wu zeq cion
何日君,wu zeq ciun
何晏,wu i
何裏,gha li
何里,gha li
何里一只,gha li iq tsaq
何里个,gha li gheq
佖,biq
佗,du
佗,thu
佘,zo
余,yu
佚,yiq
佛,veq
佛,feq
佛,beq
佛,biq
作,tsoq
作家,tsoq cia
作死作活,tsoq si tsoq weq
佝,keu
佝,heu
佝背,heu pe
佞,gnin
佟,don
你,ni
佢,jiu
佣,yon
佤,wa
佥,tshi
佩,be
佬,lau
佮,keq
佯,yan
佰,paq
佳,cia
佴,er
佴,gni
佴,ne
併,pin
佶,jiq
佸,weq
佺,tshi
佻,thiau
佼,ciau
佽,tshy
佾,yiq
使,sy
侁,sen
侂,thoq
侃,khe
侄,zeq
來,le
來死,le si
侇,yi
侈,tshy
侉,kho
例,li
侍,zy
侏,tsy
侑,yeu
侔,meu
侖,len
侗,don
侗,thon
侘,tsho
供,kon
依,i
侠,yaq
侣,liu
侥,tsiau
侦,tsen
侧,tseq
侧,tsheq
侨,jiau
侩,kue
侪,ze
侬,non
侬个,non gheq
侭,tsin
侮,wu
侯,gheu
侴,hau
侴,tsheu
侵,tshin
侶,liu
侷,jioq
侹,thin
便,bi
係,yi
係,shi
促,tshoq
俄,ngu
俅,jieu
俆,zi
俉,n
俊,tsin
俊,tsiun
俍,lian
俎,tsu
俏,tshiau
俐,li
俑,ion
俔,yi
俗,zoq
俘,fu
俙,shi
俚,li
俜,phin
保,pau
保長,pau tsan
保长,pau tsan
俞,yu
俟,zy
俟,ji
俠,yaq
信,sin
信度,sin du
信解,sin ka
俣,gniu
俦,zeu
俨,gni
俩,lian
俪,li
俫,le
俬,sy
俭,ji
修,sieu
修行,sieu ghan
修行,sieu yin
俯,fu
俱,jiu
俳,ba
俵,piau
俶,tshoq
俸,von
俸,fon
俺,e
俾,pi
倀,tshan
倆,lian
倈,le
倉,tshaon
個,gheq
個,ku
個,geq
個不,ku peq
個中,ku tson
個以,ku i
個位,ku we
個例,ku li
個個,ku ku
個兒,ku er
個分,ku fen
個別,ku biq
個唱,ku tshaon
個多,ku tu
個子,ku tsy
個展,ku tsoe
個很,ku hen
個性,ku sin
個把,ku po
個數,ku su
個是,ku zy
個最,ku tsoe
個月,ku yoq
個月,ku yuq
個有,ku yeu
個案,ku oe
個系,ku yi
個網,ku maon
個股,ku ku
個舊,ku jieu
個裏,ku li
個錢,ku zi
個頭,ku deu
個體,ku thi
倌,kuoe
倍,be
倏,soq
們,men
倒,tau
倓,de
倓,te
倔,jioq
倔,jiuq
倕,zoe
倖,yin
倘,thaon
候,gheu
倚,i
倜,thiq
倞,jin
倞,lian
借,tsia
借口,ziq kheu
借問,tsia men
借問,tsia ven
借故,ziq ku
借机,ziq ci
借此,ziq tshy
借由,ziq yeu
借端,ziq toe
借词,ziq zy
借问,tsia men
借问,tsia ven
倡,tshaon
倥,khon
倦,jioe
倧,tson
倨,ciu
倩,tshi
倪,gni
倫,len
倬,tsoq
倭,u
倮,lu
倴,ben
倷,ne
债,tsa
倻,ia
值,zeq
值日,zeq zeq
倾,chin
偁,tshen
偃,ia
偃,i
偃月,i yoq
偃月,i yuq
假,ka
假,cia
假个,ka gheq
假使,cia sy
假使,ka sy
假如,cia zy
假如,ka zy
偈,jiq
偈,ji
偉,we
偌,za
偌,noq
偎,ue
偏,phi
偓,oq
偕,cia
做,tsu
做个,tsu gheq
做个,tsu ku
做大,tsu du
做月子,tsu gnioq tsy
做月子,tsu gniuq tsy
做月子,tsu yoq tsy
做月子,tsu yuq tsy
做生活,tsu san weq
做鬼,tsu kue
停,din
偟,waon
偡,ze
健,ji
偬,tson
偭,mi
偰,siq
偲,sy
偲,tshe
側,tseq
側,tsheq
偵,tsen
偶,ngeu
偷,theu
偷生,theu san
偷生,theu sen
偻,leu
偽,we
偾,fen
偿,zaon
傀,khue
傃,su
傅,fu
傅,wu
傈,liq
傉,noq
傍,baon
傑,jiq
傒,yi
傕,cioq
傖,tshaon
傖,tshen
傘,se
備,be
傚,yau
傜,yau
傝,thaq
傢,ka
傢,cia
傣,te
傥,daon
傧,pin
储,zy
傩,nu
催,tshoe
傭,yon
傲,ngau
傳,zoe
傴,eu
債,tsa
傷,saon
傺,tshy
傻,sa
傻瓜,sa kua
傾,chin
僂,leu
僅,jin
僇,loq
僉,tshi
僊,si
僎,zoe
像,zian
像个,zian ku
像個,zian ku
僑,jiau
僔,tsen
僕,boq
僖,shi
僚,liau
僞,we
僤,de
僥,tsiau
僦,tsieu
僧,sen
僨,fen
僬,tsiau
僭,tsi
僮,don
僰,boq
僱,ku
僳,soq
僵,cian
僸,cin
價,ka
價,cia
僻,phiq
儀,gni
儂,non
億,i
儆,cin
儇,shioe
儈,kue
儉,ji
儋,te
儐,pin
儒,zy
儒,lu
儔,zeu
儕,ze
儗,gni
儘,tsin
償,zaon
儡,le
儦,piau
優,ieu
儲,zy
儳,ze
儴,gnian
儷,li
儸,lu
儺,nu
儻,daon
儼,gni
儾,naon
儿,er
儿,ng
儿,gni
兀,ngeq
允,ion
允,iun
允,yon
允,yun
兂,tsoe
元,gnioe
元,yoe
兄,shion
兄長,shion tsan
兄长,shion tsan
充,tshon
充分,tshon ven
兆,zau
兇,shion
先,si
先生,si san
先走了,si tseu leq
光,kuaon
光,kuan
光复,kuaon voq
光度,kuaon du
光火,kuan hu
光火,kuaon hu
光生,kuaon san
光足,kuan tsoq
克,kheq
兌,de
免,mi
兑,de
兒,er
兒,ng
兒,gni
兔,thu
兕,zy
兖,yoe
兗,yoe
党,taon
兜,teu
兢,cin
入,zeq
兦,maon
內,ne
內行,ne ghaon
內鬼,ne kue
全,zi
兩,lian
兩伊,lian i
兩家,lian cia
兩家,lian ka
兩家頭,lian ka deu
兩氣生,lian chi san
兩行,lian ghaon
八,paq
八个,paq gheq
八个,paq ku
八十,paq seq
公,kon
公家,kon cia
六,loq
六个,loq gheq
六个,loq ku
六十,loq seq
兮,shi
兰,le
共,gon
共度,gon du
兲,thi
关,kue
关亡,kue maon
关系,kue shi
兴,shin
兵,pin
其,ji
具,jiu
典,ti
兹,tsy
兹,zy
养,yan
养刁囡,yan tiau noe
养大,yan du
兼,ci
兽,seu
冀,ci
冁,tshoe
冂,cion
内,ne
内脏,ne zaon
内行,ne ghaon
内鬼,ne kue
冇,mau
冈,kaon
冉,zoe
冊,tshaq
册,tshaq
再,tse
冏,cion
冑,zeu
冒,mau
冔,shiu
冕,mi
冖,miq
冗,gnion
写,sia
写个,sia gheq
写个,sia ku
写字间,sia zy ke
军,cion
军,ciun
军乐,cion yaq
军乐,ciun yaq
军长,cion tsan
军长,ciun tsan
农,non
农行,non ghaon
冠,kuoe
冢,tson
冤,ioe
冤鬼,ioe kue
冥,min
冪,miq
冬,ton
冭,tha
冯,von
冯,bin
冰,pin
冰烊了,pin yan leq
冰生激骨,pin san ciq kueq
冱,wu
冲,tshon
决,cioq
决,ciuq
决断,cioq toe
决断,ciuq toe
况,huaon
况,khuaon
冶,yi
冷,lan
冻,ton
冼,si
冽,liq
净,zin
凃,du
凄,tshi
准,tsen
凇,son
凉,lian
凋,tiau
凌,lin
凌凙兒,lin doq ng
凍,ton
减,ke
凑,tsheu
凓,liq
凖,tsen
凘,sy
凙,doq
凚,jin
凛,lin
凜,lin
凝,gnin
几,ci
几个,ci gheq
几个,ci ku
几十,ci seq
凡,ve
凤,von
凤,bon
凫,bu
凭,bin
凭借,bin ziq
凯,khe
凰,waon
凱,khe
凳,ten
凵,khe
凶,shion
凸,deq
凹,au
出,tsheq
出个,tsheq ku
出個,tsheq ku
出塞,tsheq se
出更,tsheq kan
击,ciq
凼,daon
函,ghoe
凿,zoq
刀,tau
刁,tiau
刂,tau
刃,zen
刃,len
分,fen
分,ven
分个,fen gheq
分之,ven tsy
分內,ven ne
分内,ven ne
分行,fen ghaon
切,tshiq
刈,gni
刉,ke
刊,khe
刊行,khe ghan
刊行,khe yin
刍,tshy
刎,ven
刑,yin
划,gho
划,waq
划,o
划了,waq liau
划分,waq fen
划拉,waq la
划破,waq phu
刖,gnioq
刖,gniuq
刖,yoq
刖,yuq
列,liq
刘,lieu
则,tseq
刚,kaon
创,tshaon
初,tshu
初更,tshu kan
删,se
判,phoe
別,biq
別,beq
刨,bau
利,li
利差,li tsho
刪,se
别,biq
别,beq
别个,biq gheq
刭,cin
刮,kuaq
到,tau
到家,tau cia
到家,tau ka
刳,khu
刴,tu
制,tsy
刷,seq
券,chioe
刹,saq
刹,tshaq
刺,tshy
刻,kheq
刽,kue
刿,kue
剀,khe
剁,tu
剂,tsi
剃,thi
剄,cin
剅,teu
則,tseq
剉,tshu
削,siaq
剋,kheq
剌,laq
前,zi
前个,zi ku
前個,zi ku
剎,saq
剐,ko
剐,kua
剑,ci
剔,thiq
剕,vi
剖,pheu
剖,phu
剚,tsy
剛,kaon
剜,uoe
剝,poq
剞,ci
剟,teq
剡,yi
剡,zoe
剥,poq
剧,jiq
剩,zan
剩,zen
剩的,zen tiq
剩磁,zen zy
剪,tsi
剮,ko
剮,kua
副,fu
割,keq
剴,khe
創,tshaon
剷,tshe
剽,biau
剾,kheu
剿,ziau
剿,tshau
劁,ziau
劂,cioq
劂,ciuq
劃,waq
劄,tsaq
劇,jiq
劈,phiq
劉,lieu
劊,kue
劌,kue
劍,ci
劐,hoq
劑,tsi
劒,ci
劓,gni
劔,ci
劗,tse
劚,zoq
力,liq
劜,gaq
劝,chioe
劝降,chioe ghaon
办,be
办家家,be ka ka
功,kon
加,ka
加,cia
加个,ka gheq
加个,ka ku
加只,ka tsaq
加行,ka ghaon
务,vu
务,wu
劢,ma
劢,me
劣,liq
动,don
动问,don men
助,zu
助,zy
助長,zu tsan
助长,zu tsan
努,nu
劫,ciq
劬,jiu
劭,zau
励,li
劲,cin
劲,jin
劳,lau
劾,gheq
势,sy
勁,cin
勁,jin
勃,beq
勇,ion
勉,mi
勉強,mi chian
勉强,mi chian
勋,shion
勋,shiun
勍,jin
勐,man
勒,leq
勒杀吊死,leq saq tiau si
勒殺吊死,leq saq tiau si
勔,mi
動,don
動問,don men
勖,shioq
勘,khoe
勘,khe
務,vu
務,wu
勚,yi
勛,shion
勛,shiun
勜,on
勝,sen
勝仗,sen tsan
勞,lau
募,mu
募,mo
勠,loq
勢,sy
勣,tsiq
勤,jin
勤問,jin men
勤问,jin men
勦,ziau
勦,tshau
勩,yi
勯,the
勰,yaq
勱,ma
勱,me
勳,shion
勳,shiun
勵,li
勸,chioe
勸降,chioe ghaon
勹,pau
勺,zoq
勻,yon
勻,yun
勾,keu
勿,veq
勿死勿活,veq si veq weq
勿生势,veq san sy
勿生勢,veq san sy
匀,yon
匀,yun
包,pau
匆,tshon
匈,shion
匍,boq
匍,bu
匏,bau
匐,fu
匕,pi
化,ho
化,hua
化学,ho yaq
化學,ho yaq
化生,ho san
化生,ho sen
北,poq
匙,zy
匚,faon
匜,yi
匝,tsaq
匟,khaon
匠,zian
匡,khuaon
匣,ghaq
匦,kue
匪,fi
匭,kue
匮,gue
匯,we
匱,gue
匳,li
匸,yi
匹,phiq
区,chiu
区,eu
区划,chiu waq
区长,chiu tsan
医,i
医生,i san
匼,khaq
匽,i
匾,pi
匿,gniq
區,chiu
區,eu
區長,chiu tsan
十,zeq
十,seq
十个,zeq gheq
十个,zeq ku
十家,zeq cia
十行,zeq ghaon
卂,sin
千,tshi
卅,saq
升,sen
午,wu
午,ng
午,u
午覺,wu kau
午觉,wu kau
卉,hue
半,poe
半个,poe ku
半個,poe ku
半日天,poe gniq thi
半死半活,poe si poe weq
卍,me
卍,ve
华,gho
华,ho
华,wa
协,yaq
卐,me
卐,ve
卑,pe
卒,tseq
卓,tsoq
協,yaq
单,te
单,zoe
单个,te ku
单于,zoe yu
单行,te ghaon
单行,te yin
单被,te bi
卖,ma
南,noe
南,na
博,poq
博聞強識,poq ven jian tsy
博闻强识,poq ven jian tsy
卜,poq
卜,boq
卝,khuaon
卝,kue
卞,bi
卟,poq
占,tsoe
占,tsi
卡,kha
卢,lu
卣,yeu
卤,lu
卦,ko
卦,kua
卧,ngu
卩,tsiq
卫,we
卬,gnian
卬,ngaon
卮,tsy
卯,mau
卯,tsi
印,in
印行,in ghaon
危,we
即,tsiq
却,chiaq
却,chioq
却,chiuq
卵,loe
卵,lu
卵生,lu sen
卵細胞,lu si pau
卵细胞,lu si pau
卷,cioe
卸,sia
卹,siq
卺,cin
卻,chiaq
卻,chioq
卻,chiuq
卽,tsiq
卿,chin
厂,tshan
厂,hoe
厂,oe
厂家,tshan cia
厂家,tshan ka
厂长,tshan tsan
厃,we
厃,yi
厄,ngeq
厅,thin
厅长,thin tsan
历,liq
厉,li
压,aq
厌,i
厍,so
厔,seq
厔,tseq
厕,tshy
厖,maon
厘,li
厙,so
厚,gheu
厝,tshu
原,gnioe
厢,sian
厣,i
厥,cioq
厥,ciuq
厦,gho
厦,sa
厦,shia
厨,zy
厨房间,zy vaon ke
厩,cieu
厭,i
厮,sy
厰,tshan
厰家,tshan cia
厰家,tshan ka
厰長,tshan tsan
厲,li
厴,i
厶,sy
去,chi
去,chiu
去个,chi gheq
去了,chi leq
去了,chi liau
去了,chiu leq
去問,chi men
去年仔,chiu gni tsy
去问,chi men
厾,toq
县,yoe
县长,yoe tsan
叁,se
参,tshoe
参,sen
参,tshen
参差,tshen tshy
參,tshoe
參,sen
參,tshen
參差,tshen tshy
叄,se
叆,e
叆,i
叇,de
又,yeu
又,ieu
又,yi
叉,tsho
叉,tsha
叉子,tsha tsy
叉开,tsha khe
叉开,tsho khe
叉手,tsha seu
叉着,tsha zaq
叉腰,tsha iau
叉路,tsha lu
叉車,tsha tsho
叉车,tsha tsho
叉開,tsha khe
叉開,tsho khe
及,jiq
友,yeu
双,saon
双十,saon seq
双行,saon ghaon
双行,saon yin
反,fe
反抄耳光,fe tshau gni kuaon
反省,fe sin
发,faq
发行,faq ghan
发行,faq yin
叔,soq
叕,tseq
取,tshiu
受,zeu
受伤个,zeu saon gheq
受降,zeu ghaon
变,pi
变个,pi ku
变大,pi du
变死,pi si
叙,ziu
叚,ka
叛,boe
叟,seu
叠,diq
叠,deq
叠柴垛,deq za tu
叠起来,deq chi le
叢,zon
口,kheu
古,ku
句,ciu
句讀,ciu deu
句读,ciu deu
另,lin
叨,tau
叨,thau
叨教,tau kau
叩,kheu
只,tseq
只,tsaq
叫,ciau
叫,kau
叫个,ciau ku
叫個,ciau ku
叫化子,kau ho tsy
召,zau
叭,pa
叮,tin
可,khu
可,kheq
可汗,kheq ghoe
台,de
台,the
台州,the tseu
台长,de tsan
叱,tsheq
史,sy
右,yeu
叵,phu
叶,yiq
叶,yaq
号,ghau
司,sy
司長,sy tsan
司长,sy tsan
叹,the
叻,leq
叼,tiau
叽,ci
吁,shiu
吁,yu
吃,chiq
吃个,chiq gheq
吃亏,chiq chiu
吃亏,chiq khue
吃生活,chiq san weq
吃着受用,chiq tsaq zeu yon
吃耳光,chiq gni kuaon
吃饭间,chiq ve ke
各,koq
各个,koq ku
各個,koq ku
各行,koq ghaon
吅,shioe
吆,iau
合,gheq
合,keq
合并,gheq pin
合算,keq soe
合腮,keq se
吉,ciq
吊,tiau
吊孝,tiau hau
吋,tshen
同,don
同行,don ghaon
同行,don yin
名,min
名望,min waon
后,gheu
后个,gheu ku
后日天,gheu gniq thi
后生,gheu san
吏,li
吐,thu
向,shian
向日,shian zeq
吒,tso
吓,haq
吕,liu
吖,a
吖,ia
吗,mo
吗,ma
吘,nk
吚,i
吚,yi
君,cion
君,ciun
吝,lin
吞,then
吞咽,then i
吟,gnin
吠,fi
吡,phi
吣,tshin
否,feu
否,phi
